Estimator	Eyes	Density	Clustering_Coefficient	Path_Length
PDC	EO	50	0.803	1.581
PDC	EO	30	0.602	1.812
PDC	EO	20	0.497	1.911
PDC	EO	10	0.381	1.077
PDC	EO	5	0.274	0.372
PDC	EO	1	0.048	not fully connected
PDC	EC	50	0.799	1.557
PDC	EC	30	0.62	2.001
PDC	EC	20	0.506	2.23
PDC	EC	10	0.4	1.402
PDC	EC	5	0.314	0.32
PDC	EC	1	0.087	not fully connected
DTF	EO	50	0.859	1.232
DTF	EO	30	0.783	1.079
DTF	EO	20	0.734	0.676
DTF	EO	10	0.683	0.593
DTF	EO	5	0.707	0.123
DTF	EO	1	0.18	not fully connected
DTF	EC	50	0.85	1.376
DTF	EC	30	0.738	1.086
DTF	EC	20	0.722	0.936
DTF	EC	10	0.635	0.603
DTF	EC	5	0.555	0.237
DTF	EC	1	0.069	not fully connected
